,merge.labels.M3,Lung,Liver,Right Ovary,Left Ovary,Adrenal
658,bar|1040 10155,1,0,0,0,0
659,bar|1041 4713,1,0,0,0,0
660,bar|1041 6099,2046,0,154,0,0
661,bar|1042 1277,404,0,0,0,0
662,bar|1043 9284,7,0,4,0,0
663,bar|1045 9051,622,0,0,0,0
664,bar|1049 8559,1,0,1,0,0
665,bar|1050 9191,1,0,1,0,1
666,bar|1051 244,5,0,0,0,0
667,bar|1051 5670,11,0,136,1,180
668,bar|1053 2154,124,0,49,0,0
669,bar|1053 7264,74,652,147,119,10631
670,bar|1057 3638,355,0,0,0,0
671,bar|1057 5388,496,0,0,0,0
672,bar|1057 7685,131,0,0,0,0
673,bar|1057 8071,21,0,1869,36,198
674,bar|1060 3789,74,0,0,0,0
675,bar|1064 3915,1367,76,0,0,1
676,bar|1064 14257,206,0,0,0,0
